key,english,placeholders,where_it_appears,translation
acc.language,Language,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
adfree.balanceLabel,Your Khata Credits,,Shopkeeper: settings,
adfree.buy,Remove for {amount},{amount},Shopkeeper: settings,
adfree.buying,Applying…,,Shopkeeper: settings,
adfree.costLabel,Cost,,Shopkeeper: settings,
adfree.days,How many days,,Shopkeeper: settings,
adfree.disabledNote,This option is not available right now. Please check back later.,,Shopkeeper: settings,
adfree.done,Done. Your storefront is ad-free for the chosen days.,,Shopkeeper: settings,
adfree.extend,Extend for {amount},{amount},Shopkeeper: settings,
adfree.lowBalance,Not enough Khata Credits for this. Reduce the days or earn more credits.,,Shopkeeper: settings,
adfree.perDay,{amount} / day,{amount},Shopkeeper: settings,
adfree.statusActive,Ad-free until {date},{date},Shopkeeper: settings,
adfree.statusInactive,Sponsored slide may show,,Shopkeeper: settings,
adfree.subtitle,Shoppers may see one sponsored slide in your storefront photos. Spend Khata Credits to keep your storefront ad-free for a while. Branded Store shops are always ad-free.,,Shopkeeper: settings,
adfree.title,Remove sponsored slide from my storefront,,Shopkeeper: settings,
ask.answer.credits,Your Khata Credits reward balance is ₹{amount}.,{amount},Shopkeeper: dashboard,
ask.answer.custBalance,{name} owes you ₹{amount}.,{name} {amount},Shopkeeper: dashboard,
ask.answer.custNotFound,I could not find that customer — please say the name again.,,Shopkeeper: dashboard,
ask.answer.myPlan,Your current plan is {plan}.,{plan},Shopkeeper: dashboard,
ask.answer.notAvailable,That is not available right now — please try again.,,Shopkeeper: dashboard,
ask.answer.storeLink,Your store link is shown on screen.,,Shopkeeper: dashboard,
ask.answer.weekSummary,This week you have collected ₹{amount}.,{amount},Shopkeeper: dashboard,
brand.accentLabel,Accent colour,,Shopkeeper: promote,
brand.activate,Activate for {amount},{amount},Shopkeeper: promote,
brand.activated,Premium is live. Your storefront theme is now showing.,,Shopkeeper: promote,
brand.activating,Activating…,,Shopkeeper: promote,
brand.badge,Premium,,Shopper: shop/[shopId],
brand.costLabel,Cost,,Shopkeeper: promote,
brand.days,How many days,,Shopkeeper: promote,
brand.disabledNote,Branded Store is not available right now. Please check back later.,,Shopkeeper: promote,
brand.extend,Extend for {amount},{amount},Shopkeeper: promote,
brand.lowBalance,Not enough Khata Credits for this. Reduce the days or earn more credits.,,Shopkeeper: promote,
brand.perDay,{amount} / day,{amount},Shopkeeper: promote,
brand.save,Save theme,,Shopkeeper: promote,
brand.saved,Theme saved.,,Shopkeeper: promote,
brand.saving,Saving…,,Shopkeeper: promote,
brand.statusActive,Premium active until {date},{date},Shopkeeper: promote,
brand.statusInactive,Not active,,Shopkeeper: promote,
brand.subtitle,"Spend your Khata Credits to give your storefront a premium look — your own accent colour, a tagline, a ""Premium"" badge, and a small boost for your promos. Time-boxed and extendable.",,Shopkeeper: promote,
brand.taglineLabel,Tagline (optional),,Shopkeeper: promote,
brand.taglinePlaceholder,e.g. Your neighbourhood favourite,,Shopkeeper: promote,
brand.themeNote,Your accent colour and tagline show on your storefront while premium is active. You can set them anytime.,,Shopkeeper: promote,
brand.themeTitle,Your storefront theme,,Shopkeeper: promote,
brand.title,Branded Store,,Shopkeeper: promote,
c.addMoney,Add money / Pre-pay,,Shopper: khata,
c.advanceLabel,Advance: {amt},{amt},Shopper: khata,
c.appearance.title,Appearance,,Shopper: account; Shopper: cart; Shopper: khata,
c.atShop,at {shop},{shop},Shopper: products,
c.buyItAgain,Buy it again,,Shopper: products,
c.catAttaRice,Atta & Rice,,Shopper: products; Shopper: shops,
c.catCookingOils,Cooking Oils,,Shopper: products; Shopper: shops,
c.catDalPulses,Dal & Pulses,,Shopper: products; Shopper: shops,
c.catHousehold,Household,,Shopper: products; Shopper: shops,
c.catPersonalCare,Personal Care,,Shopper: products; Shopper: shops,
c.catSpices,Spices,,Shopper: products; Shopper: shops,
c.clearRecent,Clear,,Shopper: products,
c.enterAmount,Enter an amount to pay.,,Shopper: khata,
c.filterAll,All,,Shopper: shops,
c.layout.gaon,Gaon Bazaar,,Shopper: account; Shopper: cart; Shopper: khata,
c.layout.standard,Standard,,Shopper: account; Shopper: cart; Shopper: khata,
c.layout.title,Layout,,Shopper: account; Shopper: cart; Shopper: khata,
c.loc.cancel,Cancel,,Shopper: account; Shopper: cart; Shopper: khata,
c.loc.chip,Location,,Shopper: account; Shopper: cart; Shopper: khata,
c.loc.detect,Detect,,Shopper: account; Shopper: cart; Shopper: khata,
